device_id,alpha_median,current_state_level,maintenance_interval_median,medium_interval_median,medium_pre_decay_speed_median,medium_min_interval,major_interval_median,medium_count_between_major_median,major_ratio,cycle_decay_rate_median,pure_decay_rate_median,monthly_decay_sensitive,medium_plateau_gain_median,major_plateau_gain_median,medium_plateau_gain_ratio_median,major_plateau_gain_ratio_median,medium_recovery_ratio_used,major_recovery_ratio_used,h_max_initial,hmax_trend_used,rho_reliable_flag,n_valid_days,n_valid_cycles
a1,96.3445604682412,95.46858193148316,62.0,62.0,0.32619177382751186,52.0,347.0,5.0,0.16666666666666666,-0.25759538419779315,-0.37994911941924486,True,17.83808022037603,16.344591108792773,0.24283963344113885,0.23315702835717828,0.7213199817883444,0.35681408221274835,104.17905910518749,-0.010704803336541217,False,669,10
a2,73.71282958297428,43.81509265245208,56.5,56.5,0.3136758953557367,50.75,57.5,0.0,0.25,-0.3069701709649668,-0.41491346974091114,True,17.83808022037603,16.344591108792773,0.24283963344113885,0.23315702835717828,0.7213199817883444,0.42349346418063105,61.9531263371914,-0.050100492744542625,False,678,10
a3,93.18691269106606,69.82082960181906,55.5,55.5,0.4543995584682239,47.25,138.0,1.0,0.15384615384615385,-0.4676688629201021,-0.45960405027505385,True,17.83808022037603,16.344591108792773,0.24283963344113885,0.23315702835717828,0.7213199817883444,0.42349346418063105,83.17688449705136,-0.036233906665256145,False,688,9
a4,98.6451864933487,110.44724837412475,57.0,57.0,0.45777526359253895,49.0,,,0.0,-0.3348008639979638,-0.3685543152452482,True,17.83808022037603,16.344591108792773,0.24283963344113885,0.23315702835717828,0.7004868892692525,0.42349346418063105,114.78918601857175,0.0,True,665,12
a5,99.07099730838209,50.948587161506055,60.0,60.0,0.2891861902589443,49.0,425.8235294117647,7.470588235294118,0.07692307692307693,-0.35527168469988335,-0.34044546842622414,True,17.83808022037603,16.344591108792773,0.24283963344113885,0.23315702835717828,0.6177128724437171,0.42349346418063105,81.47394416566925,-0.08325829491331344,False,692,12
a6,73.16003427931975,84.66985355801819,71.0,71.0,0.22262689197437907,54.0,105.0,1.0,0.16666666666666666,-0.45839206996067616,-0.5115767477037375,True,17.83808022037603,16.344591108792773,0.24283963344113885,0.23315702835717828,0.7421530743074364,0.4901728461485137,91.56894383351641,0.0,True,677,11
a7,91.33355709757231,65.19753028940247,62.0,62.0,0.38901214420939184,50.0,298.0,4.0,0.15384615384615385,-0.3475770422829628,-0.3567359513234645,True,17.83808022037603,16.344591108792773,0.24283963344113885,0.23315702835717828,0.7213199817883444,0.42349346418063105,68.59957567125903,-0.048756607995136224,False,677,11
a8,94.26755894900529,62.3708025376779,54.5,54.5,0.3793692062689495,46.0,,,0.0,-0.42400985110584555,-0.32812715695695854,True,17.83808022037603,16.344591108792773,0.24283963344113885,0.23315702835717828,0.7213199817883444,0.42349346418063105,69.6598657263656,-0.09134137602504325,False,683,12
a9,80.5244020011574,70.56488737184425,62.5,62.5,0.5177499863518,48.75,321.0,5.0,0.15384615384615385,-0.2416630046381919,-0.3368938138815578,True,17.83808022037603,16.344591108792773,0.24283963344113885,0.23315702835717828,0.7213199817883444,0.42349346418063105,82.77891072634958,-0.03692408587740113,False,675,11
a10,92.24024856471146,51.356096266281924,74.0,74.0,0.5084042898400463,50.0,262.5,3.5,0.23076923076923078,-0.4746984380222614,-0.43690845048748866,True,17.83808022037603,16.344591108792773,0.24283963344113885,0.23315702835717828,0.8947109890413749,0.42349346418063105,52.789792587952505,-0.1362408473960661,False,688,12
